,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
132,150,Kenneth Faried\farieke01,PF,25,DEN,75,71,27.8,5.0,9.8,0.507,0.0,0.1,0.125,5.0,9.7,0.511,0.507,2.7,3.8,0.691,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6
133,156,Randy Foye\foyera01,SG,31,DEN,50,21,21.7,3.0,8.0,0.368,1.9,5.3,0.35700000000000004,1.1,2.8,0.38799999999999996,0.485,0.9,1.1,0.818,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7
134,157,Jamaal Franklin\frankja01,SG,23,DEN,3,0,4.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.3,0.3,0.7,1.0,0.0,0.3,1.0,1.3,1.0
135,162,Danilo Gallinari\gallida01,SF,26,DEN,59,27,24.2,3.9,9.6,0.401,1.8,5.1,0.355,2.1,4.5,0.45299999999999996,0.496,2.9,3.2,0.895,0.5,3.2,3.7,1.4,0.8,0.3,1.0,1.6,12.4
136,169,Alonzo Gee\geeal01,SF,27,DEN,39,0,13.1,1.7,3.5,0.48200000000000004,0.3,0.6,0.41700000000000004,1.4,2.9,0.496,0.518,1.2,1.7,0.738,0.7,1.1,1.8,0.5,0.7,0.2,0.6,1.1,4.9
137,185,Erick Green\greener01,PG,23,DEN,43,1,9.5,1.4,3.8,0.377,0.3,1.1,0.298,1.1,2.7,0.409,0.42,0.2,0.3,0.833,0.2,0.6,0.7,0.9,0.3,0.0,0.3,0.6,3.4
138,200,Gary Harris\harriga01,SG,20,DEN,55,6,13.1,1.2,3.9,0.304,0.4,1.9,0.204,0.8,2.1,0.395,0.353,0.6,0.9,0.745,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4
139,212,J.J. Hickson\hicksjj01,C,26,DEN,73,8,19.3,3.0,6.3,0.475,0.0,0.0,0.0,3.0,6.3,0.47700000000000004,0.475,1.6,2.8,0.5770000000000001,2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6
140,272,Joffrey Lauvergne\lauvejo01,C,23,DEN,24,1,11.2,1.5,3.7,0.40399999999999997,0.1,0.7,0.188,1.4,3.0,0.452,0.42100000000000004,0.8,1.2,0.643,1.1,2.1,3.2,0.5,0.3,0.4,0.9,1.8,3.9
141,274,Ty Lawson\lawsoty01,PG,27,DEN,75,75,35.5,5.4,12.3,0.436,0.9,2.7,0.341,4.5,9.6,0.46299999999999997,0.474,3.5,4.8,0.73,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2
142,310,JaVale McGee\mcgeeja01,C,27,DEN,17,0,11.5,2.0,3.6,0.557,0.0,0.0,,2.0,3.6,0.557,0.557,1.2,1.7,0.69,0.8,2.0,2.8,0.1,0.1,1.1,0.8,1.6,5.2
143,335,Timofey Mozgov\mozgoti01,C,28,DEN,35,35,25.6,3.3,6.6,0.504,0.1,0.2,0.33299999999999996,3.3,6.5,0.509,0.509,1.8,2.5,0.733,2.6,5.2,7.8,0.5,0.4,1.2,1.3,3.3,8.5
144,341,Jameer Nelson\nelsoja01,PG,32,DEN,34,5,20.6,4.0,8.8,0.45,1.4,3.8,0.354,2.6,5.0,0.524,0.527,0.3,0.6,0.579,0.5,1.5,1.9,3.7,0.7,0.1,1.8,2.1,9.6
145,348,Jusuf Nurkic\nurkiju01,C,20,DEN,62,27,17.8,2.8,6.2,0.446,0.0,0.0,0.0,2.8,6.1,0.449,0.446,1.4,2.1,0.636,2.0,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9
